comment,polarity,sentiment,emotion,comment_category
masterpiece citizen tv may hero continue resting peace asured one day kenya safe u courtesy,0.9485,positive,neutral,supportive or appreciative
surely piece sound beneficial ruling elite covering real loss life dont care ruling elite think cover real street issue ground nonsense,-0.2091,negative,neutral,supportive or appreciative
gen z wanted treasonous gone statehouse,-0.5719,negative,anger,critical or negative feedback
little annoyed past tense issue still main problem hurting u affecting motivation youth ever killing youth driving around like god taking money church surely never bitter people would spend month halting important matter nation impeach plan sit destroy life politics everyday happened serving people kenya need change tiring frustrating everything wrong country love must make right well done sam gituku voice change,-0.6498,negative,anger,critical or negative feedback
kenyan voter save country belongs people inhuman individual,0.4939,positive,disgust,critical or negative feedback
sad still think youth goon,-0.4767,negative,sadness,critical or negative feedback
reading go listen sikupi tano tena sauti sol released election listening hope lyric buzz sense ear,0.4404,positive,neutral,supportive or appreciative
arrogance high handedness evasiveness take responsibility still visible winding keep time bomb clock ticking see remember opulent wedding,-0.765,negative,anger,critical or negative feedback
day animal leave office happy man bt question going replace,0.5423,positive,joy,supportive or appreciative
wake early early kutoa hii kasongo,0.0,neutral,neutral,supportive or appreciative
duale still denial learn bound make mistake,-0.34,negative,neutral,critical or negative feedback
maandamano changed view politics vowed understand core shall,0.0,neutral,neutral,critical or negative feedback
tell guy goon fed mp,0.0,neutral,neutral,critical or negative feedback
kenyan forget easily everybody taking side tribe men woman 😢😢😢,-0.8316,negative,neutral,critical or negative feedback
dear kenyan never forget atrocity regime ha subjected innocent youth kenyan must make informed decision come,0.7944,positive,sadness,critical or negative feedback
one term president ✖️ruto must go home,0.0,neutral,sadness,critical or negative feedback
play around election time kenyan forget time round political class v keny😢ns 2😢27,-0.6908,negative,neutral,sarcastic or humorous
still see delusion politician harbour think ca touched muka wa ruto behold element duale profiling genzs githurai kiambu road,0.0,neutral,neutral,critical or negative feedback
inhuman hard forgive ruto,0.1779,positive,neutral,critical or negative feedback
protester entry parliament shall go annals history lesson learnt law maker represented interest ruling party representative law enforcer ought refresher course handle mass humane way demonstrator ought learn conduct descent way,0.6908,positive,joy,informative or analytical
documentary brings back raw emotion 😭,-0.4767,negative,neutral,critical or negative feedback
downloaded video watching election acha tu tunasubiri sana hawa mpigs warudi oum,0.0,neutral,neutral,supportive or appreciative
duale still denial,0.0,neutral,neutral,critical or negative feedback
goosepump,0.0,neutral,neutral,supportive or appreciative
rip soldier justice prevails day coming might misused security machinery day coming haunt judgement reach,0.4939,positive,fear,critical or negative feedback
watch heavy heart bleeding life cut short brutally loving soil darkest regime full innocent blood abduction thrives listening politician ignorant took courage ooh kenya bleed remember,-0.128,negative,anger,critical or negative feedback
😭😭😭😭😭😭😭😭😭😭 painful never forget blood young patriotic kenyan forever haunt everyone wa responsible shedding it😭,-0.988,negative,sadness,critical or negative feedback
imagine sio hawa watu wafike constitution doe say term must finished office,0.0,neutral,neutral,question or inquiry
still ichungwa kimani talking pride bro,0.34,positive,neutral,supportive or appreciative
may god deal anybody hand death young people whether drug intoxicated human 😢😢😢😢😢😢😢😢😢,-0.9788,negative,fear,critical or negative feedback
god bless citizen tv number,0.6369,positive,surprise,supportive or appreciative
one thing know wsr still elected despite arrogance langu jicho,0.4168,positive,neutral,critical or negative feedback
think government still doe listen,0.0,neutral,neutral,critical or negative feedback
still govt hold narrative genz paid invade parliament govt change,0.0,neutral,anger,critical or negative feedback
💔if forget history doomed repeat people caused post election violence people killed innocent still abducting young kenyan,-0.9468,negative,anger,critical or negative feedback
watching minute cast vote case fellow kenyan decide forget,-0.2263,negative,neutral,critical or negative feedback
cry watching sad,-0.7351,negative,sadness,critical or negative feedback
😢😢😢😢😢😢 b long people register enmasse actual voting elect good leader expect total misery period highest level lunacy corruption cronism total plunder country resource best,-0.9381,negative,sadness,critical or negative feedback
agree bonface,0.3612,positive,neutral,supportive or appreciative
sunk deep parent buried kid died loving country,0.0772,positive,sadness,critical or negative feedback
duale denial lol,0.4215,positive,neutral,sarcastic or humorous
god really send ruto awaken unite kenyan way expected darkness new dawn,0.0258,neutral,surprise,supportive or appreciative
junetwentyfifth kenya always remembered juneteenth usa history wa made huge number young people stood oppression happy counted,0.743,positive,joy,supportive or appreciative
thank sam githuku well played documentary one think seen member parliament ha remorse action none even say sorry patriotic hero count mau mau,0.8785,positive,sadness,supportive or appreciative
need get rid type duale kindiki claim act constitution reveal branch armed force mobilized citizen supposed serve work charlatan public service need go along william ruto,0.0,neutral,neutral,critical or negative feedback
god bless citizen tv always remember new kenya come,0.5994,positive,surprise,supportive or appreciative
opiyo wandayi c weuh,0.0,neutral,neutral,supportive or appreciative
spoilt bringing called side story chose ichungwa person tell chosen less vitriolic person otherwise good piece keep leader aware country belongs,0.024,neutral,anger,critical or negative feedback
moment join william ruto become stupid useless man,-0.6124,negative,anger,critical or negative feedback
truth parliament voted bill protester could cooled surprised leader made decision brought blood shed shame,0.0258,neutral,surprise,critical or negative feedback
cnn,0.0,neutral,neutral,supportive or appreciative
kuria kimani educated fool,-0.4404,negative,neutral,critical or negative feedback
politician still living utopian world think always right wata tii,0.0,neutral,neutral,supportive or appreciative
duale trying sanitize killing kenyan,-0.6597,negative,anger,critical or negative feedback
could feel restraint sam voice duale said protestant intoxicated,0.0,neutral,fear,critical or negative feedback
according politician demonstration infiltrated rogue crowd inteligence far one ha arrested organized rogue crowd many wa agenda,-0.0772,negative,anger,informative or analytical
kahiga main interviewee,0.0,neutral,neutral,supportive or appreciative
passing finance bill amid great demonstration smacked great arrogance ruling class,0.7351,positive,anger,critical or negative feedback
cry motherland kenya😢😢😢😢,-0.9382,negative,sadness,critical or negative feedback
ca forget,-0.2263,negative,neutral,critical or negative feedback
way kahiga gachietha speaking reveals mastermind rest peace legend,0.5423,positive,joy,informative or analytical
repeat night election,0.0,neutral,neutral,supportive or appreciative
big mzalendo sam gituku summary conclusion gova u 😢,-0.4767,negative,neutral,critical or negative feedback
duale trying rewrite history know,0.0,neutral,neutral,critical or negative feedback
think rewatch year rutto leaving office amen,0.0,neutral,neutral,supportive or appreciative
aden know wa u goon friend kogi wa shot tukiwa na yeye never forget break heart everyday😢😢😢,-0.8317,negative,sadness,critical or negative feedback
love documentary played theater kenyan informed,0.765,positive,neutral,supportive or appreciative
duale telling us😢😢 stupid,-0.8625,negative,anger,critical or negative feedback
mpigs seen nothing yet bullshit stop one day,0.6072,positive,anger,critical or negative feedback
ruto murderer,-0.6808,negative,anger,critical or negative feedback
duale ssy office would given direction boy thot police military independent,0.0,neutral,neutral,critical or negative feedback
politician ganged towards people,0.0,neutral,disgust,critical or negative feedback
shall remember,0.0,neutral,neutral,supportive or appreciative
citizen included gachagua story news,0.0,neutral,neutral,supportive or appreciative
kenya kwisha government never trusted power massacring unarmed youth protesting oppressive bill evil core justice served,-0.8424,negative,anger,critical or negative feedback
shall awaken ghost justice kenyan ❤🇰🇪✊🤕,0.2732,positive,neutral,supportive or appreciative
one thing ruto ha done unite kenyan v politician know wolf normal wanjiku sheep eye ruto must go 🇰🇪✊😤,0.34,positive,joy,supportive or appreciative
blood shed guess run cash pain politician led raila odm grew thinking wa defender people kumbe wa always selfish seeking 😢 ruto must go 🇰🇪✊😤,-0.8442,negative,anger,critical or negative feedback
name died face kenya tribless fearless togertherness god u,0.1027,positive,joy,critical or negative feedback
pain seeing blood brain young kenyan man flag spilled parliament pavement always remain fresh every time hear ruto voice get ptsd 🤕 never forget kenyan hero killed disappeared abducted 🇰🇪🤕 ruto must go 🇰🇪✊😤,-0.9179,negative,sadness,critical or negative feedback
watched whole thing without reading comment,0.0,neutral,sadness,critical or negative feedback
btw talk mp left behind disabled colleague protestors escorted safely,0.4939,positive,neutral,critical or negative feedback
let forget wa nairobi wa countrywide even far turkana one wa paying protestors simply motivated love country,0.743,positive,anger,supportive or appreciative
elite politician deluding think movement died care government people sacrifice life limb get joho job,-0.1027,negative,neutral,critical or negative feedback
raila sold u devil,-0.6597,negative,anger,critical or negative feedback
watching tear big love country 🇰🇪🇰🇪🇰🇪🙏,0.6369,positive,sadness,supportive or appreciative
poorly done documentary instead interviewing gen z millennial doctor student influencers ground making story interview people power responsible pushing bill go hell,-0.5106,negative,sadness,critical or negative feedback
citizen tv remind kenyan time wake send regime home,0.0,neutral,fear,critical or negative feedback
nothing fair upon people expensive suit big belly mocking u,-0.5664,negative,anger,critical or negative feedback
think duale kindiki investigated court law part security stakeholder,0.34,positive,neutral,informative or analytical
missed chance,-0.0516,negative,sadness,critical or negative feedback
stupid government,-0.5267,negative,anger,critical or negative feedback
sad 😢😢,-0.8519,negative,sadness,critical or negative feedback
painful sooo ruto troop must go,-0.4404,negative,sadness,critical or negative feedback
one played remind kenyan ruto nobody,0.34,positive,neutral,critical or negative feedback
sam man interview genz officer,0.0,neutral,neutral,question or inquiry
please remind kenyan,0.3182,positive,neutral,supportive or appreciative
hawa leader ni gay clearly see real men,0.4019,positive,neutral,supportive or appreciative
watching make sick angry,-0.765,negative,anger,critical or negative feedback
maandamano back 😂🤣,0.7269,positive,neutral,sarcastic or humorous
two kimanis ruin moment get someone common sense onboard politician ca ichungwa uber kfc quote,-0.5859,negative,neutral,critical or negative feedback
ichungwa still doesnt get smh,0.2411,positive,neutral,critical or negative feedback
political class back old way,0.0,neutral,neutral,critical or negative feedback
tear rolled face watching this😢 heartbreaking set documentary😢😢😢💔 allah judge u harshly lured u synagogue god thanks sam,-0.8697,negative,sadness,critical or negative feedback
ruto must go aki wa inhuman manslaughter gen zee,0.0,neutral,disgust,critical or negative feedback
excellent piece indeed,0.5719,positive,joy,supportive or appreciative
ruto must go home put matiangi,0.0,neutral,neutral,critical or negative feedback
wa sad time patriotic kenyan,-0.4767,negative,sadness,supportive or appreciative
sasa kimani machungwa anataka kusema yeye ndio aliambia president finance bill 😂😂😂 person wa chest thumping pas matter 😂😂 ey kumbavu zetu mbwa sisi 😂😂😂,0.9694,positive,neutral,sarcastic or humorous
gachagua failed attempted coup,-0.5106,negative,fear,critical or negative feedback
never forget kasongo must go,0.1695,positive,neutral,critical or negative feedback
odm betrayed kenyan joined uda pay,-0.6597,negative,neutral,critical or negative feedback
minister charge security taken responsible happened speaker national assembly culpable one bear greatest responsibility president republic people must one day answer heinous atrocity someone ha take responsibility matter point finger,0.886,positive,anger,critical or negative feedback
god still alive one way another ruto probably pay,0.5106,positive,surprise,critical or negative feedback
know kenyan forget still vote bad government,-0.6597,negative,neutral,critical or negative feedback
give kimani kuria imbecile oscar award crocodile tear,0.0772,positive,neutral,critical or negative feedback
kimani ichungwa arrogant personality kenyan politics today hope history judge harshly,-0.0772,negative,anger,critical or negative feedback
documentary shape general election wether uhuru ruto raila unite,0.0,neutral,neutral,supportive or appreciative
revolution u,0.0,neutral,neutral,supportive or appreciative
must go must go,0.0,neutral,sadness,critical or negative feedback
zakayo sealed fate june ata aaapoint mzee jomo kenyatta must fall even money tribal grouping save stinking sin zakayo ha committed continue commit country unforgivable repeat million time youth si wajinga,0.2263,positive,anger,critical or negative feedback
season two may survive,0.0,neutral,neutral,supportive or appreciative
even though still office wa day ruto lost power controling pple,-0.3182,negative,sadness,critical or negative feedback
june forever memorable part kenya history wa highlight year set aside work temporarily took part fully still work leader still understand fully power belongs citizen servant pay tax legislative arm government reportedly substantial part judiciary fully bed executive still pursuing interest zero concern regarding citizen want job paid representative ultimately consequence corruption arrogance gone away aftermath protest crept back quickly use asset pay vehicle road bully u employer instrument state illegally suppress harm u,-0.5994,negative,anger,critical or negative feedback
make video diary watching ruto go home well,0.2732,positive,neutral,supportive or appreciative
government turned gang,0.0,neutral,anger,critical or negative feedback
sam gituku thanks play towards election,0.6486,positive,joy,supportive or appreciative
replay coz many forgetful lot,-0.2732,negative,sadness,critical or negative feedback
sometimes ask question one would want think abt sobber manner police would put gun go home bcos wa kind pple street innocent gang killer destroyer police gave mayb join protest would country called kenya think,-0.5267,negative,anger,question or inquiry
god ever wipe smile kimani ichungwa face cry kenyan mother looking graf baby 😭😭😭🙏🏾,-0.8316,negative,joy,critical or negative feedback
may played election may forgotten 😓,-0.3182,negative,neutral,sarcastic or humorous
duale saying intoxicated crude weapon coming kiambu road kitengela eastlands thika road etc etc legit protester expected come heaven aden duale ever come across comment know foolish stupid boy nincompoop,-0.7964,negative,anger,critical or negative feedback
duale duale duale watch black life matter protest america georgefloyd killing much damage done including police station burned angry normal people protesting command boss security agency police wa dont shoot retreat leave building burned rebuilt life cant rebuild dwale dwale may god make cry tear kenyan mother hundred genz killed crying🙏🏾😭 angry genz kenyan burned institution working wasnt criminal stop stop laughing grieving mother calling dead maimed child criminals😭😭🙏🏾 🇰🇪,-0.9894,negative,anger,critical or negative feedback
ati wakipitisha walale bunge liked song,0.4215,positive,neutral,supportive or appreciative
ruling elite totally touch reality common kenyan unfortunate,-0.4588,negative,sadness,critical or negative feedback
guy lucky security armored car yet calling kenyan kid goon really,0.6369,positive,surprise,critical or negative feedback
sad,-0.4767,negative,sadness,critical or negative feedback
politician trying rewrite history know happened pay price,-0.1027,negative,anger,critical or negative feedback
anguish feel watching documentary indescribable regime must fall let mock u call u drunk intoxicated matter legion resolute matter forget regime end inevitable longer question,-0.8271,negative,fear,critical or negative feedback
ruto dog speaking among others dont see protester see criminal question see much damage wa done blacklives matter normal angry citizen police station burned destroyed america still police told stand dont shoot vacate station protester destroy thing destroy building inthe whole world kenya exception building rebuilt kenyan never breath terrorist colonialist ruto 😭😭😭 blackice kasongo,-0.9736,negative,anger,critical or negative feedback
like odm cow behind must go dump empigs clapping bill dropped text increased bread bring obesity kimani machungwa trying win heart advice ruto sign bil kasongo promising youth mjengo job duale justifying kil ng youth,0.9136,positive,sadness,critical or negative feedback
duale talking like kenyan citizen even late unfortunate,-0.128,negative,sadness,critical or negative feedback
dont think ruto crony see kenyan human wondet theyll drop upto hundred n shed tear,-0.2732,negative,sadness,critical or negative feedback
well done documentary letting subject voice tell story,0.2732,positive,neutral,supportive or appreciative
kamau ichungwah still referring kenyan public goon hell mp,-0.6808,negative,anger,critical or negative feedback
wake ruto fall,0.0,neutral,neutral,critical or negative feedback
country wa go dog like post election clash hope kenyan learn lesson,0.6597,positive,neutral,critical or negative feedback
scar never erase heart mind concerning day wrath continue shining way young hero,0.0598,positive,anger,supportive or appreciative
duale shame ati genzs walipotea wengine walikua influence😅😅,0.2263,positive,sadness,critical or negative feedback
day break heart rip patriot 😢,0.2732,positive,sadness,critical or negative feedback
love work samgituku tukiweka bibilia chini utakua finance minister,0.6369,positive,neutral,supportive or appreciative
still feel like wa yesterday really annoying,-0.1263,negative,anger,critical or negative feedback
watched entire documentary seems everyone kk ha hero syndrome disease see hero go way show saved day want people applaud evident listen ichungwa duale speak ca read room,0.9531,positive,joy,supportive or appreciative
tax must paid country grow problem wa punitive bill rampant corruption,-0.7184,negative,anger,critical or negative feedback
difficulty watching documentary ruto sycophant politician annoying,-0.6249,negative,fear,critical or negative feedback
wodder mp connot go home yet understand course everyone angry 😡 mmmmmm 😮,-0.5106,negative,anger,sarcastic or humorous
see know fight nation,-0.3818,negative,neutral,question or inquiry
wa sad happened thing like happen globe new ca reason pray accursed beloved country good nation god care god bless kenya 🇰🇪 thing going well patience virtue virtue,0.9712,positive,sadness,critical or negative feedback
god wa sure many kenyan lost life killed innocent surely ruto wa born killed learned anything since socked see,-0.5574,negative,sadness,critical or negative feedback
adane duale tell goon intoxicated people tell hooded guy 😂😂😂😂😂 wajinga waliisha,0.926,positive,neutral,sarcastic or humorous
kindiki mr saprano,0.0,neutral,neutral,supportive or appreciative
million kenya street deal drug lord,0.0,neutral,neutral,critical or negative feedback
influence drug eden 😊,0.7184,positive,neutral,sarcastic or humorous
kenyan gracious despite people still office wa point killing people afterwards withdraw finance bill,-0.2023,negative,neutral,supportive or appreciative
politician went young people rescued 😂😂😂,0.8885,positive,neutral,sarcastic or humorous
tear eye,0.0,neutral,sadness,critical or negative feedback
june wa genesis awakening generation evolving accepting bear minimum mediocrity elected leader,0.3182,positive,neutral,critical or negative feedback
gen z thing wa political orchestrated movement partly funded ngo determined cause anarchy country wake kenyan understand philosophy politics used cause ai aware,0.2815,positive,anger,critical or negative feedback
never forget ni iebc tunangonja start recalling mp kabla kasongo arudi sugoi,0.1695,positive,neutral,supportive or appreciative
day wrath day mourning,-0.4404,negative,anger,critical or negative feedback
untill government peace admit tired tired like tired nothing like paid goon,-0.4606,negative,sadness,critical or negative feedback
make sure play ju kenyan hupenda kusahau sana,0.5719,positive,neutral,supportive or appreciative
kindiki fucking joker game,0.2006,positive,anger,sarcastic or humorous
ruto must jailed team goon thugs😢,-0.743,negative,anger,critical or negative feedback
watched live back remember tell ruto government season coming,0.0,neutral,neutral,critical or negative feedback
duale greeted,0.2732,positive,joy,supportive or appreciative
cursed government may never know peace maumbwaa,-0.431,negative,sadness,critical or negative feedback
rich regrouping punish u may god punish,-0.2732,negative,anger,critical or negative feedback
citizen making documetary perpetuating corrupt people hero interview real hero victim gen z affected roque regime,0.6705,positive,anger,question or inquiry
thankyuo citizen pls next year remind people lost genzs,-0.25,negative,neutral,critical or negative feedback
interviewing politician know mwananchi suffering genz tried save country nothing ha changed revolution got hijacked politician many youth unalived abducted still missing date nothing ha changed,-0.8162,negative,sadness,critical or negative feedback
😂😂😂 season two loading,0.8271,positive,neutral,sarcastic or humorous
thank citizen tv 👍,0.3612,positive,joy,supportive or appreciative
good work bbc africa let appreciate best rapper octopizzo 🇰🇪🇰🇪🇰🇪 study culture music,0.8689,positive,joy,supportive or appreciative
justice killed kenyan,-0.2732,negative,sadness,critical or negative feedback
aiiii sad guy arround eating drinking,-0.4767,negative,sadness,critical or negative feedback
south africa🇿🇦 stand kenya.🇰🇪,0.0,neutral,neutral,supportive or appreciative
september,0.0,neutral,sadness,supportive or appreciative
malawi stand brother kenya,0.0,neutral,neutral,supportive or appreciative
un policy globalism aroumd world thing europe etc im uk ❤,0.6369,positive,joy,supportive or appreciative
seeing ca stop cry argentina south america th recipe de imf making people life miserable even president word nutcase milei imf usa puppet,-0.8176,negative,sadness,critical or negative feedback
reminds nigeria,0.0,neutral,neutral,supportive or appreciative
blooodklat,0.0,neutral,neutral,critical or negative feedback
course called criminal ca say three unarmed men murdered street protesting president touch saying people already struggling tighten belt bc going president bankrupt state belt go home three guy murdered unarmed cop murderer president arrested,-0.9836,negative,anger,critical or negative feedback
god bless african tried save country uk stage right september london march number never seen,0.8126,positive,surprise,supportive or appreciative
camp kenya getting shut down😂😂😂,0.8271,positive,sadness,sarcastic or humorous
heinous,0.0,neutral,disgust,critical or negative feedback
rwanda stand kenya,0.0,neutral,neutral,supportive or appreciative
strong forever,0.5106,positive,neutral,supportive or appreciative
kenyan live u looking comment everyone across world supporting u almost brought tear love reminded humanity still exists,0.7806,positive,joy,supportive or appreciative
one day one day africa shall free✊🏿,0.5106,positive,joy,supportive or appreciative
zimbabwe stand kenya,0.0,neutral,neutral,supportive or appreciative
eat rich,0.5574,positive,joy,supportive or appreciative
ca finish watching heart pained come back later,0.34,positive,sadness,critical or negative feedback
stand kenya person coming another bankrupt country already one highest tax world ca understand government allowed throw money discussing raise tax need stop,-0.7003,negative,sadness,critical or negative feedback
someone ca stop singing kumi bila break guy killing innocent kenyan region joke shallow way seeing may never forgotten matter amount lie smile keep trying cover,0.0237,neutral,neutral,sarcastic or humorous
shall never forget😭😭,0.031,neutral,sadness,supportive or appreciative
killing field kenya,-0.6597,negative,neutral,critical or negative feedback
yet happen south africa 🇿🇦we also tired corrupt government,-0.4404,negative,sadness,critical or negative feedback
lmao mp already left go back bruhhh wtf big brain shi 🧠,0.0258,neutral,sadness,sarcastic or humorous
said many people africa happens,0.0,neutral,neutral,supportive or appreciative
building wa abandoned kid coulda went lolol made mess people street could sooner organize run govnmt pig could milk cow would left cupl day bcuz hungry bored noone would gotten killed,-0.9022,negative,sadness,sarcastic or humorous
ruto worst president africa,-0.6249,negative,disgust,critical or negative feedback
south africa stand kenyan 🤎🤎🤎🙏🏿🙏🏿🙏🏿,0.0,neutral,neutral,supportive or appreciative
shooting citizen live bullet like enemy,-0.25,negative,anger,critical or negative feedback
peasant know nothing,0.0,neutral,neutral,critical or negative feedback
policeman behind bar,0.0,neutral,fear,critical or negative feedback
rutho ruthless liar another dictator counted day power government gone soon,-0.5106,negative,anger,critical or negative feedback
whats call proffessional investigative journalism prayer beautiful east african kenya uganda,0.5994,positive,joy,informative or analytical
called museveni effect museveni training east african leader bad help kenya uganda get rid bad leadership,-0.6486,negative,sadness,critical or negative feedback
true medium one corrupted bought party sad work medium doe,0.34,positive,sadness,critical or negative feedback
almighty ahayah blood son yahweh hamashiya break evil alters general curse created government ancestor grandparent parent child youth future generation surrender everything ahayah son jesus christ god control amen hallelujah,-0.2023,negative,joy,supportive or appreciative
ruto cursed,0.0,neutral,sadness,critical or negative feedback
gent jumped gate stood people president,0.0,neutral,neutral,supportive or appreciative
people said going parliament peaceful demonstration ended vandalizing state property upon warning shot sad killing demonstration wa peaceful,-0.4019,negative,anger,critical or negative feedback
shame bbc wa peaceful aiming destroying parliament n police work police could happened may loss death poor politics kenya n kenyan mind still weak think twice,-0.9403,negative,anger,critical or negative feedback
well put together mad respect kenyan youth may lost life rest power power people 🇳🇦🤝🏾🇰🇪,-0.0772,negative,sadness,supportive or appreciative
waiting second documentary covering june,0.0,neutral,neutral,supportive or appreciative
upsetting 😔😔,-0.3612,negative,disgust,critical or negative feedback
chinese government suck,-0.4404,negative,disgust,critical or negative feedback
ruto think bad boy time coming discus take resignation world watching,-0.6908,negative,neutral,critical or negative feedback
america stand kenyan 👊🏾,0.0,neutral,neutral,supportive or appreciative
hard watch documentary kenyan brother deserve justice,0.4588,positive,anger,critical or negative feedback
may lord god almighty watch kenya🙏🏼🤲🏼,0.2732,positive,surprise,supportive or appreciative
stand kenya,0.0,neutral,neutral,supportive or appreciative
crazy government one,-0.34,negative,surprise,critical or negative feedback
ruto face justice jail term,0.5267,positive,sadness,critical or negative feedback
love support belarus thank stay strong ❤,0.9509,positive,joy,supportive or appreciative
rogue regime kasongo go home😮😮,0.0,neutral,neutral,critical or negative feedback
sorry loss,-0.3818,negative,sadness,critical or negative feedback
😔😔😥pain 😩 meal leader every second 😢😢,-0.8519,negative,anger,critical or negative feedback
wrong shoot young peaceful protester history repeating government rethink retreat action told everyone tighten belt democracy else young protester shot even like animal way africa president rather step let give another patient leader go want hear truth african democracy working,0.5574,positive,anger,critical or negative feedback
budding journalist man ademba may life reward goodness bravery heart,0.9337,positive,joy,supportive or appreciative
forget,-0.2263,negative,anger,spam or irrelevant
may god help u kind government may never sit may soul hero rest peace 😢😢💔we one 🇰🇪,0.7184,positive,sadness,critical or negative feedback
happenning kenya,0.0,neutral,neutral,supportive or appreciative
kenya another protest date,-0.25,negative,anger,critical or negative feedback
season screening tomorrow 😢,-0.4767,negative,fear,critical or negative feedback
kenya standingup nigerian cant even nigerian running away country shocking,-0.4019,negative,fear,critical or negative feedback
great job bbc ruto must go,0.6249,positive,joy,supportive or appreciative
june,0.0,neutral,neutral,supportive or appreciative
baba owino side wednesday come u protest u lead u know dangerous let make kenya better country,-0.296,negative,anger,critical or negative feedback
southern cameroon conflict world medium turned blind eye,-0.6124,negative,sadness,critical or negative feedback
intense necessary light truth many try ignore,0.0258,neutral,neutral,critical or negative feedback
bbc contact plz somali bantu suffering,-0.4215,negative,sadness,critical or negative feedback
documentary gave whole country crash course investigative journalism one see fast cop shot hawker wa identified public great work bbcafrica,0.34,positive,joy,informative or analytical
finally people let serve deterrent government people powerful government people resolved fight rightfully force withstand,0.2263,positive,anger,critical or negative feedback
returning remind 😔 kenyan forget government become accomplice blood stain soil broken promise lie like shattered glass beneath foot grieving mother dream youth buried beneath weight bullet betrayal asked got coffin demanded met silence government fail u preyed future forget abandon memory whose crime wa hope,-0.9578,negative,sadness,critical or negative feedback
painful 😣😣,-0.4404,negative,fear,critical or negative feedback
nigeria kudos kenyan real african ❤,0.8176,positive,neutral,supportive or appreciative
today another family mourning child tear blood tear never dry motherland kenya,-0.4404,negative,sadness,critical or negative feedback
yet happening kenya 😢,-0.4767,negative,neutral,critical or negative feedback
commander armed force kenya released army people ruto😢,-0.4767,negative,neutral,critical or negative feedback
bbc nice work making thing black white possible wish cover protest like one happened june young gentle man wa shot dead clearly identify,0.743,positive,joy,supportive or appreciative
back broken heart 💔 💔 💔 💔,0.8176,positive,sadness,critical or negative feedback
police shot another guy today similar execution style infront camera deny time round,-0.34,negative,anger,critical or negative feedback
video picture clear goon adorned police apparel armed shot gun shoot face mask vendor imenti house kenya today close range barely inch victim following anti lagat demo cbd nairobi today president wa quoted earlier willing pay whatever price gen z fighting justice murder albert police custody today met police brutality civilian goon fight walk alongside kenyan police attacking fellow kenyan chanting ruto tano tena civilian goon beaten robbed innocent civilian kenya motherland take liberated jaw death cuff oppression,-0.9706,negative,anger,critical or negative feedback
brilliant investigative journalism bbc 👏👏👏👏 heartfelt condolence family lost loved one,0.872,positive,sadness,supportive or appreciative
government fails keep safe,0.0258,neutral,sadness,critical or negative feedback
till today shooter arrested,-0.4767,negative,sadness,critical or negative feedback
hi would love give astory scared would still raise child,0.3182,positive,fear,supportive or appreciative
really impressed investigation 👍🏿👍🏿,0.5256,positive,surprise,supportive or appreciative
stupid president raise tax citizen boy wa sold main party ruto need arrested u well terrorist,-0.8126,negative,anger,critical or negative feedback
issue police pretend feel problem going kenyan,-0.4767,negative,sadness,critical or negative feedback
criminal doe kenya want usa bad u raising tax exactly foreign force infiltrate ur country enough say u dictator,-0.765,negative,anger,critical or negative feedback
suffer die like 😭 feel sad kenyan seeing now😭 may lost hero soul rest peace may god heal country🙏 long live kenyan people✊🏾🇰🇪🇰🇪,-0.8074,negative,sadness,critical or negative feedback
year later nothing changed,0.0,neutral,neutral,critical or negative feedback
came back rewatch death albert ojwang police custody almost year later nothing ha changed yet perhaps someday untill civic duty make hero proud🖤❤️💚,0.8797,positive,joy,supportive or appreciative
lying see somehow line interest,-0.1027,negative,neutral,supportive or appreciative
african leader must act behalf population population bos behalf,0.0,neutral,neutral,supportive or appreciative
nvr forget😢,-0.6124,negative,neutral,sarcastic or humorous
bbc africa please check painful albert ojwang death,-0.6705,negative,sadness,critical or negative feedback
albert ojwang death also reminded record keep piling kenyan happy lot,-0.0516,negative,surprise,supportive or appreciative
june killed another young kenyan son father need stop,-0.7717,negative,anger,critical or negative feedback
thank much bbc,0.3612,positive,joy,supportive or appreciative
watching break heart country one wantam,0.6369,positive,sadness,critical or negative feedback
one term😏😏😏,0.0,neutral,neutral,sarcastic or humorous
sema wantam,0.0,neutral,neutral,question or inquiry
video dangerous woke propaganda bbc cover role english deep state orchestrating protest free market pro business reform first place attacking kenyan parliament unacceptable,-0.8316,negative,anger,critical or negative feedback
british stand kenya people disgusting action need stop people hard enough pm stealing tax money maybe mp need new home new car pm live like king steal money get want african people suffer big way heart go suffer due gorvnment,-0.9169,negative,disgust,critical or negative feedback
think kenyan medium best medium document bbc foreign medium think everyone know home much better visitor 💯,0.7964,positive,joy,supportive or appreciative
must end mp busy supporting finance bill yet know every kenyan selfish😢,-0.5106,negative,anger,critical or negative feedback
kenya stand side side end,0.0,neutral,neutral,supportive or appreciative
hate ruto,-0.5719,negative,anger,critical or negative feedback
bbc biased dont show thing uk instead help make sure educated young people like mwangi able brainwash generation,0.6597,positive,neutral,critical or negative feedback
killed,-0.6705,negative,sadness,critical or negative feedback
whole world prepare watch u die come next general election,-0.5994,negative,neutral,critical or negative feedback
government kill people 😢 funny,-0.7096,negative,joy,sarcastic or humorous
president ibrahim traore compare african president ha good heart good burkinabe people love protect president ibrahim traore,0.9595,positive,joy,supportive or appreciative
president ibrahim traore best leader africa commited people need understand situation suffering ordinary people,0.2732,positive,sadness,supportive or appreciative
